fare_amount,pickup_timestamp,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,pickup_hour,pickup_day_of_week,pickup_month,pickup_year,is_weekend,time_period,trip_distance_km,pickup_distance_from_center,dropoff_distance_from_center
23.0,2012-10-08 20:08:38+00:00,-74.001153,40.703661,-74.002694,40.688937,20,0,10,2012,False,regular,1.6423803751442372,6.18450151043389,7.814953814130614
22.5,2012-01-23 13:49:57+00:00,-73.951987,40.836222,-73.956079,40.849431,13,0,1,2012,False,regular,1.5085696113744007,9.143936850536665,10.463905737628378
17.4,2013-02-15 20:01:19+00:00,-73.975605,40.757985,-73.978596,40.759988,20,4,2,2013,False,regular,0.3362579298522158,0.8334303762670104,0.6220959696947684
21.5,2011-04-02 14:59:06+00:00,-73.963865,40.753351,-73.961037,40.764739,14,5,4,2011,True,regular,1.2884951550033703,1.8942236680944438,2.1923829229621368
24.2,2012-05-23 07:46:34+00:00,-73.96508,40.717062,-73.952939,40.729271,7,2,5,2012,False,morning_rush,1.6999509034350075,4.866368532783173,4.210657476937972
22.8,2011-07-25 16:35:49+00:00,-74.024365,40.757821,-74.029707,40.77117,16,0,7,2011,False,regular,1.5510243796639809,3.273556863727407,4.000723594544264
24.7,2013-10-22 05:53:41+00:00,-73.980231,40.745074,-73.997249,40.738591,5,1,10,2013,False,late_night,1.6047550467393503,1.504273344874942,2.3743035124481207
28.1,2012-12-03 17:25:43+00:00,-73.985245,40.693344,-73.960399,40.691265,17,0,12,2012,False,evening_rush,2.1074942368153424,7.189451290273703,7.716183219124989
20.2,2011-06-11 09:35:13+00:00,-74.00266,40.717892,-73.995944,40.711775,9,5,6,2011,True,morning_rush,0.8848967474859802,4.688297890666303,5.2147681536656
20.5,2013-03-26 14:07:13+00:00,-73.970807,40.773848,-73.97472,40.782799,14,1,3,2013,False,regular,1.0484230873792626,2.153271147857378,2.903107721947431
21.8,2013-10-13 07:20:15+00:00,-73.945669,40.808321,-73.933781,40.811649,7,6,10,2013,True,morning_rush,1.0667532058529945,6.523456154095615,7.385652551775349
22.7,2011-12-04 14:52:23+00:00,-74.03346,40.761015,-74.024123,40.771706,14,6,12,2011,True,regular,1.4253160885389071,4.053335353587421,3.5921061407167807
21.7,2011-08-05 12:40:28+00:00,-73.990689,40.783092,-73.985767,40.79422,12,4,8,2011,False,regular,1.3049172618716314,2.824114096207068,4.027542994577412
24.6,2011-01-15 12:00:24+00:00,-74.004915,40.745327,-74.009686,40.728055,12,5,1,2011,True,regular,1.9621751937764353,2.1587944986086196,3.9036961204018366
23.2,2012-06-04 23:00:43+00:00,-73.978564,40.747404,-73.971891,40.760911,23,0,6,2012,False,late_night,1.603642171279388,1.3151235775326553,1.191051023031331
22.9,2012-10-09 23:10:50+00:00,-73.986512,40.782729,-73.975617,40.792238,23,1,10,2012,False,late_night,1.3997641506462886,2.7510596599292096,3.896987464208206
24.4,2012-08-15 07:34:34+00:00,-73.992114,40.799883,-74.009314,40.796191,7,2,8,2012,False,morning_rush,1.5049135166153014,4.690356074513991,4.696261251351299
17.7,2011-10-16 04:41:38+00:00,-73.96621,40.789033,-73.963965,40.792531,4,6,10,2011,True,late_night,0.4324460575569497,3.8139184024317347,4.2463354463191845
17.2,2013-10-14 08:27:06+00:00,-73.947276,40.718009,-73.944295,40.716772,8,0,10,2013,False,morning_rush,0.2864234332349823,5.490485062554759,5.750533298777674
19.0,2011-07-20 07:11:33+00:00,-73.926774,40.747991,-73.924113,40.754152,7,2,7,2011,False,morning_rush,0.7208104568309219,5.0703564199696975,5.188281252101855
17.5,2013-11-22 15:54:22+00:00,-73.994793,40.758326,-73.994331,40.754612,15,4,11,2013,False,regular,0.4148072851753565,0.7835608389894797,0.8337907599184678
22.0,2013-03-15 02:43:39+00:00,-74.016418,40.74221,-74.004557,40.746999,2,4,3,2013,False,late_night,1.1322594672884638,3.1409976714202004,2.01821355721064
16.7,2012-12-26 02:00:34+00:00,-73.968816,40.761636,-73.970929,40.762309,2,2,12,2012,False,late_night,0.19305559926308272,1.462215634318994,1.317452449507416
17.8,2012-09-04 14:13:02+00:00,-73.94779,40.774617,-73.947818,40.770295,14,1,9,2012,False,regular,0.4805902569810219,3.6742177840919346,3.455509204979585
17.5,2013-10-25 22:13:38+00:00,-73.963726,40.780084,-73.96057,40.781986,22,4,10,2013,False,late_night,0.3396190764780968,3.064705423679479,3.394266370011666
29.2,2013-03-05 08:14:14+00:00,-73.947873,40.800576,-73.949654,40.827641,8,1,3,2013,False,morning_rush,3.013220675022042,5.696533581709278,8.310918414228397
23.4,2013-06-10 12:50:31+00:00,-73.98451,40.740117,-73.99837,40.733261,12,0,6,2013,False,regular,1.3945800513295832,1.9902468924614174,2.9568033718255453
17.3,2013-01-12 16:51:31+00:00,-73.992191,40.709079,-73.99005,40.70658,16,5,1,2013,True,regular,0.3313356609948619,5.468903335889637,5.730482072631362
19.2,2012-04-29 22:38:44+00:00,-73.977691,40.760747,-73.975437,40.754066,22,6,4,2012,True,late_night,0.7667681859341156,0.7251846937267001,0.9538274523400825
19.0,2012-06-24 03:12:31+00:00,-73.986611,40.806514,-73.990263,40.800882,3,6,6,2012,True,late_night,0.6976211133272571,5.395321635044445,4.785096499995291
19.8,2012-07-31 09:44:56+00:00,-73.966738,40.735691,-73.968061,40.743848,9,1,7,2012,False,morning_rush,0.9138402014776316,2.9413787445185227,2.1527332485018005
31.9,2013-10-09 05:27:27+00:00,-73.960605,40.770605,-73.992403,40.777764,5,2,10,2013,False,late_night,2.793431546042592,2.52198519373601,2.273245196562481
21.7,2011-07-09 00:00:56+00:00,-73.959038,40.770872,-73.946954,40.770814,0,5,7,2011,True,late_night,1.0176258326792718,2.6486422443547264,3.545241106026019
22.5,2012-09-24 19:12:40+00:00,-73.969788,40.755743,-73.960778,40.766006,19,0,9,2012,False,evening_rush,1.3704682058597846,1.3469872129437517,2.2644674593507537
23.4,2012-12-10 07:26:08+00:00,-73.975084,40.750208,-73.988462,40.758142,7,0,12,2012,False,morning_rush,1.4311253158906916,1.23307228861198,0.2499800067435375
19.1,2011-11-14 04:32:50+00:00,-73.964111,40.722297,-73.970866,40.720674,4,0,11,2011,False,late_night,0.5971889426440207,4.359829923188768,4.329716330742206
26.2,2012-11-14 23:14:58+00:00,-74.01926,40.68155,-74.004775,40.666211,23,2,11,2012,False,late_night,2.0979465196788283,8.964337158798418,10.334959010059299
22.7,2012-03-17 19:11:38+00:00,-73.975789,40.716644,-73.987337,40.724942,19,5,3,2012,True,evening_rush,1.3410764680391891,4.670796597775642,3.6791384183036375
18.2,2013-08-09 16:58:48+00:00,-73.97895,40.738291,-73.974166,40.739988,16,4,8,2013,False,regular,0.44504175742835195,2.259933962000246,2.2187718647310626
18.1,2011-01-02 01:27:53+00:00,-73.975738,40.782923,-73.980659,40.783145,1,6,1,2011,True,late_night,0.4150608716863102,2.890669170989705,2.82555983775549
18.7,2013-05-04 04:31:32+00:00,-73.981752,40.746906,-73.977651,40.742246,4,5,5,2013,True,late_night,0.6227831126531472,1.273355098975962,1.872387915753029
19.4,2012-01-20 18:01:52+00:00,-73.971363,40.734429,-73.970862,40.741876,18,4,1,2012,False,evening_rush,0.8291437506018404,2.878859385819169,2.1759990944476315
17.9,2012-12-30 05:31:54+00:00,-73.991492,40.72327,-73.994324,40.726755,5,6,12,2012,True,late_night,0.4551056124505312,3.8946556220253195,3.552927945880727
17.9,2013-04-15 22:10:55+00:00,-73.95741,40.769704,-73.953524,40.767336,22,0,4,2013,False,late_night,0.4200332810636056,2.700076024985363,2.8862196220255587
22.2,2011-05-03 16:37:23+00:00,-73.970527,40.790751,-73.975457,40.778496,16,1,5,2011,False,regular,1.4245072385354296,3.853827139581892,2.430923873194342
26.0,2013-06-02 01:05:21+00:00,-73.976986,40.781903,-73.994829,40.792582,1,6,6,2013,True,late_night,1.9148525402023218,2.7528993052401436,3.924761603328688
21.2,2013-01-21 15:32:08+00:00,-73.99395,40.768184,-74.003228,40.774234,15,0,1,2013,False,regular,1.0310200682373774,1.3374672103193772,2.3425560116977286
21.0,2011-07-06 05:15:28+00:00,-73.963694,40.705732,-73.974172,40.708286,5,2,7,2011,False,late_night,0.9277449769698687,6.095455191162914,5.609742312332869
31.1,2012-10-21 03:18:25+00:00,-73.975867,40.73945,-73.991908,40.712882,3,6,10,2012,True,late_night,3.2487915224465835,2.21654709838872,5.045861328899895
17.5,2011-05-27 19:31:06+00:00,-73.99511,40.808419,-73.991416,40.80804,19,4,5,2011,False,evening_rush,0.3137434945292584,5.6644226991225555,5.586444367354488
17.1,2012-05-03 00:39:38+00:00,-73.981133,40.783659,-73.982861,40.781246,0,3,5,2012,False,late_night,0.30522078564546173,2.8767530455832255,2.594373314558208
19.2,2011-12-04 07:00:10+00:00,-73.967418,40.703875,-73.963879,40.69769,7,6,12,2011,True,morning_rush,0.7496612001684945,6.208289002592935,6.949244047145496
20.2,2012-04-17 17:22:30+00:00,-73.968969,40.748332,-73.963761,40.755875,17,1,4,2012,False,evening_rush,0.9465427419060887,1.7591603196375782,1.8462285409562567
20.8,2011-09-20 15:25:47+00:00,-73.97026,40.760893,-73.962695,40.768042,15,1,9,2011,False,regular,1.0187423450722415,1.3232911304903987,2.221657800789488
18.6,2013-10-13 19:59:48+00:00,-73.978149,40.727135,-73.97408,40.731503,19,6,10,2013,True,evening_rush,0.5945273322860802,3.4874589386799117,3.099426500687681
22.8,2011-01-02 00:47:11+00:00,-73.959484,40.680724,-73.96928,40.691103,0,6,1,2011,True,late_night,1.4192175821023432,8.868013339924776,7.563144914537121
21.5,2012-03-28 04:31:58+00:00,-73.955244,40.752965,-73.949449,40.742742,4,2,3,2012,False,late_night,1.2371346618008672,2.609249093497289,3.4786201823505514
18.2,2013-10-11 08:40:34+00:00,-73.965254,40.726367,-73.963036,40.721831,8,4,10,2013,False,morning_rush,0.537898872680652,3.909171169622472,4.444869792335835
26.6,2013-03-26 15:02:19+00:00,-73.991749,40.726485,-73.969848,40.727233,15,1,3,2013,False,regular,1.8473980872821354,3.5436332084663875,3.666462143354367
18.7,2011-06-01 21:55:32+00:00,-74.001161,40.73936,-74.001082,40.73314,21,2,6,2011,False,regular,0.6916644716002492,2.4569173248085043,3.060147188582932
19.7,2012-09-19 10:48:07+00:00,-73.990879,40.74599,-73.98705,40.753261,10,2,9,2012,False,regular,0.8704630543406715,1.4102228617414672,0.5428851712698727
18.3,2011-04-14 19:34:47+00:00,-73.940927,40.749728,-73.941875,40.744506,19,3,4,2011,False,evening_rush,0.5861259482056651,3.8655232587113635,3.969313437035761
22.1,2012-05-24 02:24:28+00:00,-73.974366,40.72348,-73.973877,40.736464,2,3,5,2012,False,late_night,1.4443427918462954,3.9514034455673026,2.587133205370489
20.3,2013-07-02 13:17:01+00:00,-73.937471,40.743394,-73.937657,40.734082,13,1,7,2013,False,regular,1.0355657337603115,4.35960992005854,4.828815246575479
26.5,2013-04-01 02:15:40+00:00,-73.982404,40.697277,-73.98675,40.718597,2,0,4,2013,False,late_night,2.398812100875058,6.757127706228551,4.382679233614477
25.8,2011-06-10 03:32:13+00:00,-73.985176,40.759331,-73.983403,40.779624,3,4,6,2011,False,late_night,2.2614130748668515,0.15049531991083578,2.410955368824376
18.8,2013-03-26 19:55:07+00:00,-73.981481,40.664312,-73.975264,40.663364,19,1,3,2013,False,evening_rush,0.5348720815741683,10.423136320250638,10.558351950819166
21.7,2012-02-05 00:47:11+00:00,-73.981843,40.741315,-73.986039,40.752777,0,6,2,2012,True,late_night,1.3226249586391214,1.8806888888976354,0.5825429231002544
20.3,2013-08-12 18:21:54+00:00,-73.995473,40.777576,-73.987117,40.773571,18,0,8,2013,False,evening_rush,0.8327067050810484,2.333160551853263,1.7367633474482427
21.8,2013-11-11 13:29:37+00:00,-74.002977,40.71822,-73.995834,40.728353,13,0,11,2013,False,regular,1.2774513279635475,4.6619826488860046,3.4096167975502176
20.1,2011-08-18 12:50:53+00:00,-73.969973,40.771493,-73.978776,40.769733,12,3,8,2011,False,regular,0.7667090828536748,1.990237166983994,1.4222519960878446
23.7,2011-01-27 01:20:29+00:00,-73.958902,40.784672,-73.968539,40.771818,1,3,1,2011,False,late_night,1.64357828988536,3.716549567541665,2.097907991918947
33.4,2011-10-11 14:32:04+00:00,-73.9311,40.650763,-73.926619,40.615435,14,1,10,2011,False,regular,3.9464514856981885,12.775563109588976,16.611745748967785
18.9,2013-10-16 15:18:03+00:00,-73.988674,40.745459,-73.99455,40.742772,15,2,10,2013,False,regular,0.5782018534697322,1.419894578394844,1.8569741430434257
21.0,2012-06-30 16:16:43+00:00,-73.987053,40.663727,-73.99751,40.666517,16,5,6,2012,True,regular,0.9349641659596217,10.483496548937302,10.22268685761583
26.5,2011-06-07 13:52:05+00:00,-73.995425,40.746454,-73.978256,40.759757,13,1,6,2011,False,regular,2.068723298190769,1.5320674517420667,0.6406503547325614
20.5,2011-04-09 08:36:23+00:00,-73.957485,40.749785,-73.967149,40.750151,8,5,4,2011,True,morning_rush,0.8150871036668142,2.530404148079347,1.7751210409579088
24.8,2012-05-11 13:52:30+00:00,-73.9637,40.675524,-73.978936,40.685553,13,4,5,2012,False,regular,1.7012565461536502,9.353142952905415,8.074708912644255
20.2,2012-11-30 00:51:20+00:00,-73.997539,40.807745,-74.005376,40.803206,0,4,11,2012,False,late_night,0.8305606335480034,5.623499233193851,5.297942730529333
17.7,2013-07-16 22:32:02+00:00,-73.998044,40.75858,-73.995727,40.755208,22,1,7,2013,False,late_night,0.42269791910108817,1.0585085330429065,0.9156475943974373
20.9,2011-05-08 17:24:41+00:00,-73.96095,40.724529,-73.960214,40.73507,17,6,5,2011,True,evening_rush,1.1737452870085328,4.25789823290922,3.322416852144903
31.2,2012-07-19 02:39:45+00:00,-73.972336,40.793961,-73.953464,40.769315,2,3,7,2012,False,late_night,3.1678424023606375,4.149475621432482,2.9770117240053375
19.5,2012-09-17 14:21:22+00:00,-73.964832,40.696132,-73.972516,40.696261,14,0,9,2012,False,regular,0.6479622915769411,7.0964417038751195,6.95170364303318
18.0,2013-08-19 09:01:25+00:00,-73.997655,40.713125,-73.995294,40.709125,9,0,8,2013,False,morning_rush,0.4872681618580329,5.09388488360339,5.496948125352353
24.5,2013-02-23 07:32:08+00:00,-74.017554,40.681016,-74.00627,40.694622,7,5,2,2013,True,morning_rush,1.787212069325249,8.976358249326504,7.261399582720575
19.9,2011-09-03 15:38:28+00:00,-73.997499,40.804031,-74.004089,40.798749,15,5,9,2011,True,regular,0.8078645139970525,5.2171687486410105,4.793810490635294
20.0,2013-01-28 02:49:24+00:00,-73.966245,40.75997,-73.959207,40.765136,2,0,1,2013,False,late_night,0.8254251812450734,1.6364986496720983,2.3523372930327873
27.2,2013-06-21 03:44:19+00:00,-73.988589,40.75903,-73.971002,40.744104,3,4,6,2013,False,late_night,2.2246970627400384,0.2842689293059884,1.9695166617480666
20.7,2011-11-17 07:45:15+00:00,-73.934483,40.767213,-73.924535,40.765819,7,3,11,2011,False,morning_rush,0.8520041077851087,4.417160732358633,5.207701473602675
19.7,2012-10-15 11:50:22+00:00,-73.963404,40.752342,-73.97021,40.748026,11,0,10,2012,False,regular,0.7476725178602616,1.9646249978764172,1.6996402267673387
21.9,2013-04-13 22:21:50+00:00,-74.007861,40.758128,-73.999562,40.767591,22,5,4,2013,True,late_night,1.2632245252415064,1.8834574409690712,1.5937279518587855
23.0,2012-07-28 21:57:57+00:00,-73.975719,40.753228,-73.962587,40.759979,21,5,7,2012,True,regular,1.3367733610726455,0.9799485037311217,1.9423756181654594
22.2,2011-11-01 19:41:05+00:00,-73.962721,40.731742,-73.975607,40.72941,19,1,11,2011,False,evening_rush,1.1163339083253767,3.4939239960733457,3.2864969656616414
21.7,2013-12-13 10:59:36+00:00,-74.02851,40.748601,-74.034508,40.738127,10,4,12,2013,False,regular,1.269550001423596,3.770605365868062,4.682628822363644
24.1,2013-09-19 07:52:59+00:00,-73.967111,40.758208,-73.95365,40.768589,7,3,9,2013,False,morning_rush,1.617929875913138,1.549025103859438,2.9294660675372484
24.0,2013-02-12 12:31:51+00:00,-73.972023,40.705667,-73.967661,40.689483,12,1,2,2013,False,regular,1.8367664607262522,5.928929608934212,7.765639928826205
23.3,2011-02-16 02:54:39+00:00,-73.981234,40.70965,-73.980532,40.694327,2,2,2,2011,False,late_night,1.704867216785832,5.388277062590135,7.092480717031768
20.6,2012-10-17 12:49:59+00:00,-73.983459,40.782485,-73.974544,40.786862,12,2,10,2012,False,regular,0.8945692963531168,2.728027589088426,3.3392867696775856
22.5,2012-10-18 23:18:27+00:00,-73.984626,40.74079,-73.979497,40.728032,23,3,10,2012,False,late_night,1.4829883045458576,1.9150804292803214,3.3704475452525187
24.9,2013-12-17 22:25:36+00:00,-74.00352,40.767542,-74.002457,40.786138,22,1,12,2013,False,late_night,2.069717222915076,1.8517769622905706,3.439246609397548
27.1,2011-04-27 22:08:11+00:00,-73.99375,40.717236,-74.014767,40.707866,22,2,4,2011,False,late_night,2.0551046068843313,4.5857354321213215,6.095726205338676
18.8,2013-10-09 00:57:57+00:00,-73.988332,40.705806,-73.981932,40.705802,0,2,10,2013,False,late_night,0.5394775994270984,5.808611583582404,5.811933788379358
19.4,2012-05-27 14:33:31+00:00,-73.97773,40.724692,-73.970438,40.726283,14,6,5,2012,True,regular,0.6394449364749255,3.761085462022801,3.748105501557457
22.8,2012-07-13 07:44:52+00:00,-73.991136,40.743323,-74.003532,40.736029,7,4,7,2012,False,morning_rush,1.322315199370922,1.6996600466779448,2.876809474882768
28.3,2013-06-15 15:38:04+00:00,-73.997383,40.730046,-74.009099,40.707648,15,5,6,2013,True,regular,2.679131034931884,3.2655723489368627,5.941497590637805
18.4,2013-02-28 22:02:11+00:00,-73.964805,40.788818,-73.959629,40.790727,22,3,2,2013,False,late_night,0.48470470926846293,3.844466582349756,4.24131672288969
19.5,2011-06-03 15:50:36+00:00,-73.972588,40.755386,-73.970644,40.747853,15,4,6,2011,False,regular,0.8534878652695168,1.1257352604672368,1.6849302678193483
25.5,2012-11-27 13:27:04+00:00,-73.990785,40.805468,-74.010533,40.806634,13,1,11,2012,False,regular,1.6671659258414404,5.296924808629772,5.804070857820741
19.8,2013-12-06 16:29:45+00:00,-73.969874,40.762132,-73.978095,40.760909,16,4,12,2013,False,regular,0.7056239996125546,1.3939887787162157,0.7025798166978291
17.7,2013-08-15 19:04:11+00:00,-73.989063,40.677623,-73.985925,40.680256,19,3,8,2013,False,evening_rush,0.39464065108743784,8.942557655260359,8.64481257753323
24.1,2013-06-30 15:20:38+00:00,-73.978739,40.781681,-73.971972,40.7973,15,6,6,2013,True,regular,1.827803629531444,2.694058098885895,4.515980527798274
19.6,2011-12-23 22:57:09+00:00,-73.960499,40.704713,-73.966342,40.699252,22,4,12,2011,False,late_night,0.7818853282192965,6.288586348564886,6.728995232323792
18.1,2013-03-12 19:30:09+00:00,-73.992075,40.756916,-73.993549,40.752228,19,1,3,2013,False,evening_rush,0.5358635861675309,0.5667642564681777,0.933583791109221
25.1,2013-01-31 18:57:31+00:00,-74.003448,40.726759,-74.012242,40.710102,18,3,1,2013,False,evening_rush,1.994950976592099,3.788655701961312,5.783028121369617
22.3,2013-02-07 23:04:44+00:00,-73.982903,40.814281,-73.969663,40.812329,23,3,2,2013,False,late_night,1.1351843951744707,6.261979982679047,6.186505714420162
17.9,2012-05-30 15:23:15+00:00,-74.007269,40.793188,-74.005523,40.797287,15,2,5,2012,False,regular,0.4789001405890941,4.320825494371335,4.682570318508935
19.8,2011-09-15 16:27:31+00:00,-73.985549,40.727745,-73.992226,40.72291,16,3,9,2011,False,regular,0.7782232491561871,3.3642050383249185,3.942763358913141
21.8,2013-05-01 23:11:49+00:00,-73.985613,40.746179,-73.997176,40.750344,23,2,5,2013,False,late_night,1.0785563985589957,1.3144696917672762,1.3007637387049185
22.0,2012-01-15 00:32:50+00:00,-74.029274,40.757338,-74.041943,40.755563,0,6,1,2012,True,late_night,1.085199263047453,3.6877166039860283,4.761842221906316
26.8,2013-12-02 11:28:12+00:00,-73.969387,40.775902,-73.951272,40.76288,11,0,12,2013,False,regular,2.1032934549153057,2.4091293800644618,2.9334493519264693
17.4,2011-01-12 13:01:50+00:00,-73.983654,40.750875,-73.985389,40.753994,13,2,1,2011,False,regular,0.37635198530624864,0.8073783011243267,0.4455449839541224
17.9,2013-01-23 02:22:16+00:00,-73.956362,40.719253,-73.960357,40.717195,2,2,1,2013,False,late_night,0.40709571017508744,4.958788767806294,5.007463125081752
16.9,2011-03-31 07:28:25+00:00,-73.975689,40.728473,-73.977822,40.729701,7,3,3,2011,False,morning_rush,0.22572061330889176,3.385692104208782,3.2124988029366786
19.9,2013-08-27 01:50:40+00:00,-73.965288,40.749866,-73.97159,40.744196,1,1,8,2013,False,late_night,0.8242213042801526,1.927841079249935,1.9310511845893017
19.0,2013-04-05 20:49:44+00:00,-73.956199,40.787034,-73.957269,40.78048,20,4,4,2013,False,regular,0.7343186362028765,4.063356085720598,3.449698934904288
16.4,2012-02-17 23:35:24+00:00,-73.982634,40.762835,-73.982285,40.764409,23,4,2,2012,False,late_night,0.17747175431074996,0.5893307603378728,0.7623569094907393
16.8,2013-10-17 03:09:36+00:00,-73.980016,40.726798,-73.979866,40.724492,3,3,10,2013,False,late_night,0.25672686769333614,3.5001303539059454,3.756031825347876
26.3,2012-04-01 23:34:48+00:00,-74.011471,40.769451,-74.024097,40.786694,23,6,4,2012,True,late_night,2.192354865876868,2.530900590749419,4.554559696844385
21.6,2013-09-04 16:38:31+00:00,-73.955209,40.73839,-73.946285,40.746378,16,2,9,2013,False,regular,1.1636914710230666,3.356473474448856,3.54705318479872
19.5,2012-10-24 04:11:48+00:00,-73.982914,40.776712,-73.988444,40.782162,4,2,10,2012,False,late_night,0.764237498051874,2.0920457954355935,2.6981062284541584
19.0,2011-10-06 02:40:29+00:00,-74.000115,40.82581,-74.006701,40.824036,2,3,10,2011,False,late_night,0.5882233900970077,7.639849359176563,7.556670906509922
26.4,2011-03-03 19:47:24+00:00,-73.965206,40.739235,-73.972244,40.718975,19,3,3,2011,False,evening_rush,2.329561419974314,2.697469869173822,4.4808009029657425
22.3,2012-02-01 18:48:35+00:00,-74.023596,40.774048,-74.03412,40.765972,18,2,2,2012,False,evening_rush,1.261688074952709,3.671197321813745,4.1897320251083325
19.1,2012-01-31 08:18:11+00:00,-73.988585,40.727638,-73.985908,40.721165,8,1,1,2012,False,morning_rush,0.7542892526425818,3.3860894652120384,4.096009361975711
20.3,2011-09-22 06:27:13+00:00,-73.961834,40.746632,-73.952884,40.743882,6,3,9,2011,False,morning_rush,0.8136267322845205,2.360480831499741,3.1643162037895145
19.3,2013-01-04 19:18:57+00:00,-73.988754,40.750887,-73.995984,40.750553,19,4,1,2013,False,evening_rush,0.6101610183734306,0.8370752007176396,1.2105956841162493
25.4,2011-05-24 20:04:34+00:00,-73.994358,40.744189,-74.01279,40.75075,20,1,5,2011,False,regular,1.715572879418986,1.7073878364517743,2.4359516887876653
20.9,2012-01-31 19:58:20+00:00,-73.988323,40.82389,-73.998594,40.826622,19,1,1,2012,False,evening_rush,0.9160595430713154,7.33048714625451,7.709627248596278
21.8,2012-07-22 06:44:52+00:00,-74.020199,40.740802,-74.024681,40.752394,6,6,7,2012,True,morning_rush,1.3431335815662997,3.4929664907652773,3.3586017520903546
22.0,2013-12-01 06:13:30+00:00,-73.96569,40.767606,-73.978005,40.764487,6,6,12,2013,True,morning_rush,1.0935844044584304,1.9810474726986531,0.958532369510011
18.9,2012-09-25 04:34:22+00:00,-73.982458,40.692097,-73.988445,40.694669,4,1,9,2012,False,late_night,0.5801493027650967,7.332561549696349,7.04645732500097
18.9,2013-01-02 10:10:17+00:00,-73.985446,40.76296,-73.990962,40.766398,10,2,1,2013,False,regular,0.6016242140187952,0.5515455885330571,1.0409750208695325
16.9,2013-01-20 11:08:09+00:00,-73.985373,40.784262,-73.985528,40.786719,11,6,1,2013,True,regular,0.2735174229769311,2.9202207473314252,3.193407968765532
25.3,2013-08-11 11:16:37+00:00,-73.979718,40.734172,-73.994268,40.746991,11,6,8,2013,True,regular,1.8800107319739088,2.6939535012866354,1.4296888021530731
20.6,2011-06-19 08:49:26+00:00,-73.966931,40.674693,-73.96113,40.682731,8,6,6,2011,True,morning_rush,1.0188978559815867,9.394585024788242,8.617833652312289
26.2,2012-09-25 01:04:28+00:00,-73.981041,40.74884,-73.964432,40.735646,1,1,9,2012,False,late_night,2.0273957231277855,1.0855904955585425,3.0542381259896807
22.8,2011-12-05 07:47:44+00:00,-74.007233,40.750516,-73.992942,40.749372,7,0,12,2011,False,morning_rush,1.2105396434081648,2.0108891414228567,1.1460288439415094
18.6,2012-05-14 16:06:24+00:00,-73.96849,40.771722,-73.97433,40.771583,16,0,5,2012,False,regular,0.49202891120731984,2.0929257262350207,1.7793672213175573
26.9,2013-12-29 18:43:53+00:00,-73.970029,40.810327,-73.963342,40.831843,18,6,12,2013,True,evening_rush,2.4577501986519485,5.962515092757925,8.420166900708951
18.8,2011-06-16 09:25:18+00:00,-73.975889,40.738598,-73.970387,40.7353,9,3,6,2011,False,morning_rush,0.5910809895692181,2.304319082383017,2.8270304201647716
20.5,2011-02-08 02:44:12+00:00,-73.958495,40.724311,-73.95893,40.714487,2,1,2,2011,False,late_night,1.0929939410623988,4.382817556988211,5.331220218733747
18.0,2013-01-23 19:27:07+00:00,-73.979392,40.714992,-73.977622,40.719376,19,2,1,2013,False,evening_rush,0.5097922570230974,4.809881505280557,4.345778373346836
19.9,2013-04-08 08:38:00+00:00,-73.957772,40.755942,-73.950942,40.760912,8,0,4,2013,False,morning_rush,0.7977113288183444,2.3466736961321257,2.928616780124425
