fare_amount,pickup_timestamp,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude
26.5,2011-06-07 13:52:05 UTC,-73.995425,40.746454,-73.978256,40.759757
20.5,2011-04-09 08:36:23 UTC,-73.957485,40.749785,-73.967149,40.750151
24.8,2012-05-11 13:52:30 UTC,-73.9637,40.675524,-73.978936,40.685553
20.2,2012-11-30 00:51:20 UTC,-73.997539,40.807745,-74.005376,40.803206
17.7,2013-07-16 22:32:02 UTC,-73.998044,40.75858,-73.995727,40.755208
20.9,2011-05-08 17:24:41 UTC,-73.96095,40.724529,-73.960214,40.73507
31.2,2012-07-19 02:39:45 UTC,-73.972336,40.793961,-73.953464,40.769315
19.5,2012-09-17 14:21:22 UTC,-73.964832,40.696132,-73.972516,40.696261
18.0,2013-08-19 09:01:25 UTC,-73.997655,40.713125,-73.995294,40.709125
24.5,2013-02-23 07:32:08 UTC,-74.017554,40.681016,-74.00627,40.694622
19.9,2011-09-03 15:38:28 UTC,-73.997499,40.804031,-74.004089,40.798749
20.0,2013-01-28 02:49:24 UTC,-73.966245,40.75997,-73.959207,40.765136
0.8,2012-02-12 12:59:57 UTC,-73.937779,40.769782,-73.956101,40.778997
27.2,2013-06-21 03:44:19 UTC,-73.988589,40.75903,-73.971002,40.744104
20.7,2011-11-17 07:45:15 UTC,-73.934483,40.767213,-73.924535,40.765819
19.7,2012-10-15 11:50:22 UTC,-73.963404,40.752342,-73.97021,40.748026
21.9,2013-04-13 22:21:50 UTC,-74.007861,40.758128,-73.999562,40.767591
23.0,2012-07-28 21:57:57 UTC,-73.975719,40.753228,-73.962587,40.759979
22.2,2011-11-01 19:41:05 UTC,-73.962721,40.731742,-73.975607,40.72941
21.7,2013-12-13 10:59:36 UTC,-74.02851,40.748601,-74.034508,40.738127
24.1,2013-09-19 07:52:59 UTC,-73.967111,40.758208,-73.95365,40.768589
16.1,2013-09-30 11:04:38 UTC,-73.956546,40.753316,-73.955871,40.75264
24.0,2013-02-12 12:31:51 UTC,-73.972023,40.705667,-73.967661,40.689483
23.3,2011-02-16 02:54:39 UTC,-73.981234,40.70965,-73.980532,40.694327
20.6,2012-10-17 12:49:59 UTC,-73.983459,40.782485,-73.974544,40.786862
22.5,2012-10-18 23:18:27 UTC,-73.984626,40.74079,-73.979497,40.728032
24.9,2013-12-17 22:25:36 UTC,-74.00352,40.767542,-74.002457,40.786138
27.1,2011-04-27 22:08:11 UTC,-73.99375,40.717236,-74.014767,40.707866
18.8,2013-10-09 00:57:57 UTC,-73.988332,40.705806,-73.981932,40.705802
19.4,2012-05-27 14:33:31 UTC,-73.97773,40.724692,-73.970438,40.726283
22.8,2012-07-13 07:44:52 UTC,-73.991136,40.743323,-74.003532,40.736029
28.3,2013-06-15 15:38:04 UTC,-73.997383,40.730046,-74.009099,40.707648
18.4,2013-02-28 22:02:11 UTC,-73.964805,40.788818,-73.959629,40.790727
19.5,2011-06-03 15:50:36 UTC,-73.972588,40.755386,-73.970644,40.747853
25.5,2012-11-27 13:27:04 UTC,-73.990785,40.805468,-74.010533,40.806634
19.8,2013-12-06 16:29:45 UTC,-73.969874,40.762132,-73.978095,40.760909
17.7,2013-08-15 19:04:11 UTC,-73.989063,40.677623,-73.985925,40.680256
24.1,2013-06-30 15:20:38 UTC,-73.978739,40.781681,-73.971972,40.7973
19.6,2011-12-23 22:57:09 UTC,-73.960499,40.704713,-73.966342,40.699252
18.1,2013-03-12 19:30:09 UTC,-73.992075,40.756916,-73.993549,40.752228
25.1,2013-01-31 18:57:31 UTC,-74.003448,40.726759,-74.012242,40.710102
22.3,2013-02-07 23:04:44 UTC,-73.982903,40.814281,-73.969663,40.812329
17.9,2012-05-30 15:23:15 UTC,-74.007269,40.793188,-74.005523,40.797287
19.8,2011-09-15 16:27:31 UTC,-73.985549,40.727745,-73.992226,40.72291
21.8,2013-05-01 23:11:49 UTC,-73.985613,40.746179,-73.997176,40.750344
22.0,2012-01-15 00:32:50 UTC,-74.029274,40.757338,-74.041943,40.755563
26.8,2013-12-02 11:28:12 UTC,-73.969387,40.775902,-73.951272,40.76288
17.4,2011-01-12 13:01:50 UTC,-73.983654,40.750875,-73.985389,40.753994
17.9,2013-01-23 02:22:16 UTC,-73.956362,40.719253,-73.960357,40.717195
16.9,2011-03-31 07:28:25 UTC,-73.975689,40.728473,-73.977822,40.729701
19.9,2013-08-27 01:50:40 UTC,-73.965288,40.749866,-73.97159,40.744196
19.0,2013-04-05 20:49:44 UTC,-73.956199,40.787034,-73.957269,40.78048
16.4,2012-02-17 23:35:24 UTC,-73.982634,40.762835,-73.982285,40.764409
16.8,2013-10-17 03:09:36 UTC,-73.980016,40.726798,-73.979866,40.724492
26.3,2012-04-01 23:34:48 UTC,-74.011471,40.769451,-74.024097,40.786694
21.6,2013-09-04 16:38:31 UTC,-73.955209,40.73839,-73.946285,40.746378
19.5,2012-10-24 04:11:48 UTC,-73.982914,40.776712,-73.988444,40.782162
19.0,2011-10-06 02:40:29 UTC,-74.000115,40.82581,-74.006701,40.824036
26.4,2011-03-03 19:47:24 UTC,-73.965206,40.739235,-73.972244,40.718975
22.3,2012-02-01 18:48:35 UTC,-74.023596,40.774048,-74.03412,40.765972
19.1,2012-01-31 08:18:11 UTC,-73.988585,40.727638,-73.985908,40.721165
20.3,2011-09-22 06:27:13 UTC,-73.961834,40.746632,-73.952884,40.743882
19.3,2013-01-04 19:18:57 UTC,-73.988754,40.750887,-73.995984,40.750553
25.4,2011-05-24 20:04:34 UTC,-73.994358,40.744189,-74.01279,40.75075
20.9,2012-01-31 19:58:20 UTC,-73.988323,40.82389,-73.998594,40.826622
21.8,2012-07-22 06:44:52 UTC,-74.020199,40.740802,-74.024681,40.752394
22.0,2013-12-01 06:13:30 UTC,-73.96569,40.767606,-73.978005,40.764487
18.9,2012-09-25 04:34:22 UTC,-73.982458,40.692097,-73.988445,40.694669
18.9,2013-01-02 10:10:17 UTC,-73.985446,40.76296,-73.990962,40.766398
16.9,2013-01-20 11:08:09 UTC,-73.985373,40.784262,-73.985528,40.786719
25.3,2013-08-11 11:16:37 UTC,-73.979718,40.734172,-73.994268,40.746991
20.6,2011-06-19 08:49:26 UTC,-73.966931,40.674693,-73.96113,40.682731
26.2,2012-09-25 01:04:28 UTC,-73.981041,40.74884,-73.964432,40.735646
22.8,2011-12-05 07:47:44 UTC,-74.007233,40.750516,-73.992942,40.749372
18.6,2012-05-14 16:06:24 UTC,-73.96849,40.771722,-73.97433,40.771583
26.9,2013-12-29 18:43:53 UTC,-73.970029,40.810327,-73.963342,40.831843
18.8,2011-06-16 09:25:18 UTC,-73.975889,40.738598,-73.970387,40.7353
20.5,2011-02-08 02:44:12 UTC,-73.958495,40.724311,-73.95893,40.714487
18.0,2013-01-23 19:27:07 UTC,-73.979392,40.714992,-73.977622,40.719376
19.9,2013-04-08 08:38:00 UTC,-73.957772,40.755942,-73.950942,40.760912
20.1,2012-01-22 12:27:56 UTC,-73.951856,40.764381,-73.943022,40.763643
19.8,2013-04-03 00:37:52 UTC,-73.968354,40.73363,-73.97647,40.731428
21.7,2011-05-14 11:44:31 UTC,-73.994959,40.77336,-73.987482,40.78285
25.0,2011-06-22 14:20:15 UTC,-73.982616,40.763962,-73.965951,40.755426
20.4,2013-06-04 20:10:59 UTC,-73.955223,40.751297,-73.946401,40.747887
23.7,2011-02-16 08:48:13 UTC,-74.009953,40.722928,-73.994588,40.717706
29.7,2012-10-17 22:56:10 UTC,-73.987839,40.735544,-74.013674,40.746483
18.9,2013-11-01 09:31:15 UTC,-73.986859,40.677107,-73.980902,40.679962
21.1,2013-08-25 05:11:23 UTC,-73.997304,40.757074,-73.994662,40.746424
22.7,2012-10-29 20:07:57 UTC,-73.962542,40.75079,-73.952272,40.741145
26.6,2012-11-06 07:57:59 UTC,-73.972464,40.755654,-73.98372,40.774389
21.6,2012-06-23 04:40:35 UTC,-73.994221,40.76513,-73.999283,40.775962
21.8,2012-05-16 16:08:32 UTC,-73.96789,40.761575,-73.958884,40.76999
391.1,2012-04-05 15:28:12 UTC,-73.983168,40.746689,-73.993765,40.746811
23.3,2012-01-25 17:50:04 UTC,-73.997804,40.75146,-73.995381,40.766545
21.1,2012-03-25 09:55:29 UTC,-73.994258,40.707871,-73.994428,40.696836
19.5,2013-05-26 04:54:55 UTC,-73.971279,40.732488,-73.973238,40.740018
19.3,2012-01-09 00:17:31 UTC,-73.96122,40.751514,-73.955493,40.747081
21.3,2011-06-26 10:20:25 UTC,-73.989735,40.727924,-74.00089,40.725435
21.0,2011-03-04 21:58:26 UTC,-73.969111,40.775805,-73.976912,40.783062
16.6,2012-11-19 12:32:33 UTC,-73.948365,40.730241,-73.949757,40.728805
22.0,2011-04-15 02:00:20 UTC,-74.005177,40.756489,-74.017189,40.752142
22.3,2013-04-02 05:27:16 UTC,-73.972887,40.753497,-73.960577,40.748545
26.3,2012-12-09 04:37:02 UTC,-73.963387,40.772388,-73.971375,40.752525
21.1,2013-11-12 04:52:36 UTC,-73.981903,40.777024,-73.97404,40.784656
22.3,2012-12-14 09:18:16 UTC,-73.955234,40.770821,-73.963989,40.760755
25.6,2012-04-01 13:00:50 UTC,-73.936023,40.68682,-73.928981,40.705404
23.8,2012-11-15 12:03:00 UTC,-73.973133,40.785824,-73.989221,40.782948
25.2,2013-05-30 07:31:33 UTC,-73.984672,40.795819,-73.970586,40.808914
26.3,2011-04-05 07:38:25 UTC,-73.96046,40.735536,-73.949109,40.717446
20.2,2011-09-07 01:53:53 UTC,-73.963159,40.757099,-73.968684,40.764414
22.1,2013-02-09 17:11:00 UTC,-74.030377,40.723275,-74.038633,40.733161
22.5,2013-12-13 11:04:29 UTC,-73.980055,40.691549,-73.975477,40.704584
26.4,2013-02-01 16:47:46 UTC,-73.987892,40.727839,-74.003153,40.712558
19.2,2013-07-07 14:36:20 UTC,-73.972066,40.733796,-73.971718,40.726769
20.6,2012-07-31 10:50:38 UTC,-73.983873,40.739354,-73.991949,40.74512
17.1,2013-02-02 01:37:49 UTC,-73.981704,40.721233,-73.984247,40.722717
19.2,2011-04-08 17:29:14 UTC,-73.997264,40.727997,-74.003703,40.730931
20.0,2013-05-08 18:33:51 UTC,-73.965309,40.74967,-73.973293,40.746067
27.2,2011-09-06 05:32:23 UTC,-73.946899,40.726893,-73.929851,40.742401
29.2,2013-10-16 22:41:50 UTC,-73.996953,40.766306,-73.989148,40.79239
23.0,2011-03-22 04:28:03 UTC,-74.007941,40.77045,-74.02274,40.77149
20.6,2011-05-18 23:16:09 UTC,-73.9796,40.821412,-73.988358,40.825946
19.9,2013-02-23 19:23:04 UTC,-73.980573,40.78377,-73.971999,40.784333
23.7,2012-06-29 05:52:01 UTC,-73.956581,40.757293,-73.946894,40.770134
23.7,2011-07-24 10:42:47 UTC,-74.004584,40.731392,-74.018435,40.739683
22.0,2011-04-21 22:54:15 UTC,-73.990759,40.758812,-73.983773,40.748149
19.0,2011-04-05 10:53:15 UTC,-74.022954,40.759798,-74.020304,40.753671
26.6,2013-06-18 07:03:55 UTC,-73.9525,40.734601,-73.971917,40.724508
29.3,2011-10-08 02:31:02 UTC,-73.974989,40.773512,-73.979021,40.80046
18.9,2012-10-28 17:57:50 UTC,-73.989269,40.708057,-73.99063,40.71441
18.6,2013-10-25 17:27:41 UTC,-74.006445,40.742668,-74.005961,40.736711
23.0,2012-06-17 20:05:00 UTC,-74.00461,40.766676,-74.017815,40.75992
21.2,2012-10-06 08:11:25 UTC,-73.971715,40.741372,-73.979345,40.749425
21.1,2013-12-05 01:48:13 UTC,-74.002149,40.743797,-74.008378,40.752847
20.4,2013-03-04 14:56:21 UTC,-73.97792,40.745866,-73.983277,40.753848
19.0,2011-08-27 23:29:42 UTC,-73.939141,40.724932,-73.944331,40.720676
17.3,2013-04-10 15:16:25 UTC,-73.986952,40.785217,-73.988278,40.788275
17.3,2013-03-14 00:07:48 UTC,-73.999229,40.719459,-73.996133,40.720568
25.7,2012-12-19 14:55:21 UTC,-73.97236,40.759545,-73.954618,40.750182
22.0,2012-06-09 22:13:23 UTC,-74.004516,40.762409,-73.995807,40.753144
22.5,2011-12-31 13:58:55 UTC,-73.9456,40.721541,-73.932432,40.725661
18.2,2013-06-01 06:02:46 UTC,-73.951928,40.752193,-73.956735,40.754158
21.4,2013-07-07 13:42:46 UTC,-73.983283,40.722711,-73.993323,40.728245
21.3,2013-03-16 02:50:14 UTC,-73.997946,40.791731,-73.989932,40.799642
23.1,2012-04-29 09:38:56 UTC,-73.988515,40.715837,-73.988678,40.73083
21.0,2011-03-27 11:24:16 UTC,-73.985913,40.730383,-73.97861,40.722624
21.1,2011-01-25 03:09:02 UTC,-73.972329,40.713273,-73.981152,40.719576
20.6,2011-08-21 12:17:46 UTC,-73.959207,40.709269,-73.952722,40.716761
17.4,2011-08-16 14:21:33 UTC,-74.00073,40.797736,-74.002483,40.794615
18.0,2012-09-14 07:39:48 UTC,-73.959782,40.766283,-73.964391,40.767502
18.0,2013-01-17 18:41:40 UTC,-73.967646,40.754209,-73.971314,40.751343
26.5,2012-09-04 05:51:25 UTC,-73.990156,40.730303,-73.985251,40.751389
19.5,2011-11-11 12:05:36 UTC,-74.001734,40.777228,-73.993993,40.778277
18.5,2012-10-23 20:05:05 UTC,-73.977675,40.725273,-73.981339,40.729788
17.8,2012-09-15 03:29:10 UTC,-74.001192,40.773809,-73.997749,40.771169
18.6,2011-12-16 23:54:08 UTC,-73.959526,40.723825,-73.956118,40.719028
23.1,2013-01-28 02:50:30 UTC,-74.002478,40.730665,-73.995094,40.717645
23.0,2013-11-29 04:35:23 UTC,-73.969046,40.772748,-73.959177,40.783747
25.5,2011-01-06 01:19:27 UTC,-73.981612,40.775915,-73.9635,40.783599
18.4,2011-03-16 03:14:05 UTC,-73.991212,40.767924,-73.995864,40.764913
24.2,2011-04-28 16:29:55 UTC,-73.982057,40.71851,-73.967457,40.709506
16.7,2013-08-04 01:14:10 UTC,-73.9584,40.736598,-73.95723,40.738397
448.7,2013-11-15 18:44:43 UTC,-74.003845,40.754707,-74.014793,40.74973
19.1,2011-11-22 21:03:18 UTC,-73.988243,40.724522,-73.994748,40.722301
22.4,2012-12-24 00:19:48 UTC,-73.995035,40.791129,-73.990375,40.778493
19.4,2011-05-20 14:00:25 UTC,-73.980772,40.677942,-73.973535,40.680112
20.8,2012-10-15 05:36:10 UTC,-73.993694,40.726638,-74.003856,40.729008
22.3,2013-04-24 10:02:32 UTC,-74.015362,40.734713,-74.023,40.74566
18.4,2013-06-20 17:55:09 UTC,-74.001103,40.664682,-74.006434,40.663174
20.3,2011-09-18 22:09:43 UTC,-73.947245,40.708113,-73.955879,40.704778
27.8,2013-06-16 12:39:01 UTC,-73.975065,40.768759,-73.993866,40.753191
28.0,2011-11-17 04:08:16 UTC,-73.975753,40.750909,-73.997946,40.761918
20.5,2013-02-15 10:14:23 UTC,-73.985652,40.797194,-73.98947,40.806122
16.9,2011-11-14 11:49:13 UTC,-73.981033,40.796357,-73.978512,40.796644
23.0,2012-01-11 10:08:33 UTC,-73.988596,40.762991,-73.98204,40.749699
24.8,2012-08-10 02:34:00 UTC,-73.969461,40.759397,-73.983085,40.747252
22.9,2013-07-06 07:10:40 UTC,-73.977984,40.751978,-73.991437,40.746507
21.1,2011-09-27 02:20:36 UTC,-74.003425,40.670348,-74.008705,40.68
17.1,2011-01-05 18:58:13 UTC,-73.974926,40.708163,-73.974892,40.711067
24.6,2012-07-27 03:24:44 UTC,-74.029175,40.75302,-74.019087,40.738087
19.8,2013-12-01 17:39:07 UTC,-73.971723,40.768481,-73.964546,40.772523
20.2,2012-09-07 13:31:50 UTC,-74.008187,40.75869,-74.011865,40.750299
18.8,2012-02-26 00:22:14 UTC,-73.981921,40.723226,-73.97832,40.718004
22.1,2013-09-19 16:32:46 UTC,-74.003893,40.778122,-74.012328,40.78784
19.5,2012-05-17 01:13:52 UTC,-73.979944,40.794473,-73.9792,40.802128
21.1,2011-04-14 18:38:50 UTC,-73.968434,40.77814,-73.969059,40.789071
22.7,2011-07-17 05:02:06 UTC,-73.949943,40.779688,-73.9359,40.779457
20.7,2012-07-07 19:14:46 UTC,-74.010827,40.733223,-74.005892,40.742053
20.5,2012-04-22 06:26:35 UTC,-73.960491,40.782278,-73.968198,40.776417
19.6,2011-06-06 05:56:32 UTC,-73.977377,40.754373,-73.984982,40.751797
18.0,2013-10-17 04:26:54 UTC,-73.989013,40.765347,-73.992344,40.762084
23.5,2011-10-16 03:21:01 UTC,-73.964803,40.760963,-73.980448,40.761202
22.2,2012-05-31 09:32:53 UTC,-73.984718,40.746355,-73.987019,40.73349
17.0,2013-03-16 12:30:46 UTC,-73.965649,40.7242,-73.967086,40.72195
23.3,2011-08-16 12:23:51 UTC,-73.999845,40.747536,-73.99518,40.762052
21.9,2011-01-15 07:04:28 UTC,-73.99266,40.779603,-73.986539,40.768678
22.3,2011-02-16 03:11:44 UTC,-73.961128,40.736756,-73.960139,40.723463
25.9,2011-05-10 18:50:35 UTC,-73.950292,40.7768,-73.966592,40.764314
30.3,2013-03-04 10:26:04 UTC,-73.980701,40.772112,-73.992911,40.798731
19.4,2011-01-11 09:39:37 UTC,-74.035746,40.741032,-74.041797,40.74568
19.2,2012-12-12 22:46:25 UTC,-73.983981,40.791664,-73.977458,40.788961
18.7,2011-10-29 10:11:25 UTC,-73.979351,40.739334,-73.973166,40.740017
17.3,2011-05-21 07:17:24 UTC,-73.984655,40.795286,-73.98715,40.797563
27.9,2013-09-19 14:39:59 UTC,-73.973273,40.763024,-73.949676,40.756619
23.9,2012-11-13 11:43:35 UTC,-73.989538,40.749524,-73.973923,40.744352
21.9,2013-10-04 03:04:55 UTC,-73.963223,40.723366,-73.950823,40.721789
20.7,2011-05-07 09:48:27 UTC,-74.003334,40.747352,-73.996328,40.740105
18.7,2013-10-10 18:28:13 UTC,-73.955263,40.743887,-73.950678,40.739918
18.2,2013-02-17 22:00:45 UTC,-73.948998,40.712251,-73.945143,40.715782
25.9,2012-02-24 21:22:56 UTC,-73.998261,40.743472,-74.016311,40.7335
29.7,2013-10-21 21:54:50 UTC,-73.998272,40.725886,-74.008785,40.751985
19.6,2013-07-24 14:20:46 UTC,-73.971786,40.76758,-73.974007,40.775111
22.0,2013-08-26 20:08:09 UTC,-74.003744,40.789188,-74.002466,40.776488
28.0,2011-11-09 20:25:40 UTC,-73.989852,40.713193,-73.991097,40.688413
19.3,2012-07-28 19:24:25 UTC,-73.957949,40.801369,-73.955227,40.794494
26.7,2011-03-16 05:01:06 UTC,-73.965248,40.746143,-73.986281,40.752987
19.2,2012-04-19 01:26:16 UTC,-73.940396,40.720749,-73.935339,40.725654
16.3,2012-10-01 10:58:43 UTC,-73.976584,40.772733,-73.975963,40.771624
18.8,2013-02-01 18:53:23 UTC,-73.992217,40.736606,-73.994091,40.730592
22.1,2011-01-25 06:51:05 UTC,-73.978975,40.747548,-73.969702,40.738507
21.2,2011-06-26 10:21:25 UTC,-73.983012,40.737872,-73.993467,40.733846
20.8,2011-06-05 17:20:48 UTC,-73.982731,40.725498,-73.9851,40.715374
18.1,2013-08-24 16:19:40 UTC,-73.980476,40.77172,-73.977632,40.767731
23.5,2012-11-19 19:53:21 UTC,-73.998635,40.741411,-74.007165,40.75472
26.4,2012-04-20 07:48:06 UTC,-73.974356,40.7069,-73.994389,40.699188
22.2,2013-09-16 22:50:58 UTC,-74.008173,40.766532,-74.019704,40.772641
19.5,2013-08-09 18:31:29 UTC,-73.994337,40.713833,-73.994984,40.721467
21.2,2011-10-12 16:44:28 UTC,-73.982378,40.715402,-73.984868,40.704606
19.8,2011-10-13 15:39:18 UTC,-74.025191,40.785778,-74.025374,40.777344
21.9,2011-01-18 00:13:50 UTC,-73.96462,40.71411,-73.971213,40.724799
23.7,2013-10-06 01:53:27 UTC,-74.021063,40.680507,-74.034186,40.671249
16.4,2011-04-24 05:50:03 UTC,-73.966608,40.768686,-73.965238,40.768111
25.9,2013-07-13 22:38:02 UTC,-74.005856,40.740884,-74.007521,40.761284
21.5,2013-03-10 09:09:18 UTC,-73.988098,40.74347,-73.98172,40.753269
19.4,2011-06-11 00:22:54 UTC,-73.969617,40.740565,-73.977094,40.741417
26.6,2013-10-28 00:56:54 UTC,-73.936037,40.75695,-73.956246,40.765357
28.7,2012-03-18 07:53:56 UTC,-73.977671,40.727418,-74.003716,40.726859
